page,rank,total_requests,num_domains,page_weight,has_analytics,has_advertising,has_cmp,tech_count,cmp_name
https://www.gunbroker.com/,5000,254,69,4751525,1.0,1.0,1.0,38.0,OneTrust
https://www.gutefrage.net/,5000,46,6,2158246,0.0,0.0,0.0,8.0,none
https://www.gwars.io/,5000,41,3,1499908,1.0,0.0,0.0,6.0,none
https://www.gyakorikerdesek.hu/,5000,10,2,36771,0.0,0.0,0.0,2.0,none
https://www.halodoc.com/,5000,116,19,2099909,1.0,1.0,0.0,22.0,none
https://www.hangikredi.com/,5000,89,35,1820521,1.0,1.0,0.0,19.0,none
https://www.hani.co.kr/,5000,690,161,9321178,1.0,1.0,0.0,24.0,none
https://www.hankyung.com/,5000,435,31,13958619,1.0,1.0,1.0,17.0,Funding Choices
https://www.haremaltin.com/,5000,43,7,2593911,1.0,0.0,0.0,19.0,none
https://www.harpersbazaar.com/,5000,306,80,4388585,1.0,1.0,1.0,35.0,OneTrust
https://www.hasznaltauto.hu/,5000,979,225,4892003,1.0,1.0,1.0,22.0,Didomi
https://www.heavy-r.com/,5000,361,47,16938954,1.0,1.0,0.0,11.0,none
https://www.hellomagazine.com/,5000,1585,256,5427282,1.0,1.0,0.0,41.0,none
https://www.hentaicity.com/,5000,99,15,3539147,1.0,0.0,0.0,11.0,none
https://www.hentaiheroes.com/,5000,60,12,3606063,0.0,0.0,0.0,10.0,none
https://www.hepsiburada.com/,5000,45,4,360087,0.0,0.0,1.0,14.0,OneTrust
https://www.heraldo.es/,5000,149,39,3871256,1.0,1.0,1.0,21.0,Didomi
https://www.heroeswm.ru/,5000,62,7,1385363,1.0,0.0,0.0,6.0,none
https://www.heute.at/,5000,75,10,1108642,1.0,0.0,0.0,18.0,none
https://www.hilton.com/,5000,368,101,4232843,1.0,1.0,1.0,36.0,TrustArc
https://www.hites.com/,5000,343,27,9434434,1.0,1.0,0.0,18.0,none
https://www.hitta.se/,5000,63,14,1277308,1.0,1.0,1.0,20.0,Funding Choices
https://www.hk01.com/,5000,700,164,14984817,1.0,1.0,1.0,42.0,Funding Choices
https://www.hmetro.com.my/,5000,238,63,7003863,1.0,1.0,1.0,38.0,Funding Choices
https://www.hna.de/,5000,918,205,8818111,1.0,1.0,0.0,31.0,none
https://www.hola.com/,5000,766,215,13719980,1.0,1.0,0.0,43.0,none
