page,rank,total_requests,num_domains,page_weight
https://www.lefigaro.fr/,1000,153,27,2110816
https://www.lemonde.fr/,1000,33,6,965344
https://www.leparisien.fr/,1000,274,60,19476451
https://www.letras.mus.br/,1000,574,166,2116846
https://www.linkedin.com/,1000,98,11,559303
https://www.livehindustan.com/,1000,785,185,3889163
https://www.livescore.com/,1000,140,21,951192
https://www.livescore.in/,1000,460,18,2932936
https://www.lowes.com/,1000,304,57,5078639
https://www.macys.com/,1000,425,129,4360373
https://www.mangago.me/,1000,173,18,4120855
https://www.marca.com/,1000,364,70,5658646
https://www.marktplaats.nl/,1000,85,12,1747671
https://www.marmiton.org/,1000,207,49,2437524
https://www.mathplayground.com/,1000,123,23,2827699
https://www.mayoclinic.org/,1000,114,24,2297979
https://www.mediaexpert.pl/,1000,141,15,3541839
https://www.mediafire.com/,1000,92,19,1466364
https://www.mercadolibre.com.ar/,1000,128,13,1698097
https://www.mercadolibre.com.mx/,1000,129,14,1531080
https://www.mercadolivre.com.br/,1000,128,13,1813778
https://www.merkur.de/,1000,949,222,4964504
https://www.merriam-webster.com/,1000,798,186,3422657
https://www.messenger.com/,1000,45,4,2705898
https://www.metropoles.com/,1000,367,90,4632399
https://www.microsoft.com/,1000,225,62,1710090
https://www.midilibre.fr/,1000,133,41,1734241
https://www.milliyet.com.tr/,1000,242,59,4448061
https://www.minecraft.net/,1000,205,43,8799391
https://www.mlb.com/,1000,856,203,38204613
https://www.mobile.de/,1000,81,9,1970419
https://www.moneycontrol.com/,1000,57,20,793764
https://www.msn.com/,1000,535,45,9351173
https://www.mundodeportivo.com/,1000,168,59,2917569
https://www.mynet.com/,1000,574,142,3932115
https://www.myntra.com/,1000,2,1,966
https://www.n-tv.de/,1000,235,74,2166505
https://www.nairaland.com/,1000,80,15,1437790
https://www.naukri.com/,1000,226,20,2445208
https://www.naver.com/,1000,170,15,4596392
https://www.ncbi.nlm.nih.gov/,1000,55,10,703482
https://www.ndtv.com/,1000,1577,319,8317080
https://www.nesine.com/,1000,203,14,4028050
https://www.netflix.com/,1000,52,14,2557188
https://www.netshoes.com.br/,1000,350,113,4744486
https://www.news.com.au/,1000,594,189,3352151
https://www.newsweek.com/,1000,192,87,2458736
https://www.nexusmods.com/,1000,1822,295,16110725
https://www.nike.com/,1000,232,51,4111420
https://www.nikkansports.com/,1000,804,176,3385509
https://www.njuskalo.hr/,1000,1291,236,5168881
https://www.novinky.cz/,1000,113,26,1879750
https://www.nu.nl/,1000,67,18,1919537
https://www.nytimes.com/,1000,705,138,61226371
https://www.olx.com.br/,1000,225,73,2122592
https://www.onet.pl/,1000,180,30,2334839
https://www.otomoto.pl/,1000,88,12,1832611
https://www.otto.de/,1000,335,4,2521421
https://www.ouest-france.fr/,1000,437,141,3832301
https://www.paypal.com/,1000,62,7,5115686
https://www.pinterest.com/,1000,252,12,14510905
https://www.pixiv.net/,1000,90,16,2536943
https://www.porn300.com/,1000,33,6,557749
https://www.pornhub.com/,1000,104,14,1409247
https://www.pornpics.com/,1000,45,7,1899805
https://www.primevideo.com/,1000,64,7,1642140
https://www.programme-tv.net/,1000,72,11,707624
https://www.prokerala.com/,1000,87,15,931561
https://www.promiedos.com.ar/,1000,98,14,1040742
https://www.protothema.gr/,1000,92,21,3425141
https://www.ptt.cc/,1000,18,6,150124
https://www.publi24.ro/,1000,65,13,1415353
https://www.pussyspace.com/,1000,39,6,569568
https://www.quora.com/,1000,35,8,2159978
https://www.redfin.com/,1000,163,46,6111844
https://www.redtube.com/,1000,20,6,2328223
https://www.remove.bg/,1000,45,13,3334441
https://www.repubblica.it/,1000,78,23,2019474
https://www.rezultati.com/,1000,218,12,2460808
https://www.rightmove.co.uk/,1000,61,7,2154725
https://www.roblox.com/,1000,190,14,2791193
https://www.ryanair.com/,1000,96,5,1179688
https://www.samsung.com/,1000,413,85,5289754
https://www.sanook.com/,1000,1108,212,8619012
https://www.sarkariresult.com/,1000,510,137,2776560
https://www.sciencedirect.com/,1000,39,9,1789058
https://www.screener.in/,1000,29,3,300459
https://www.scribd.com/,1000,121,53,2243311
https://www.seznam.cz/,1000,374,39,14454778
https://www.shiksha.com/,1000,115,25,2400976
https://www.shutterstock.com/,1000,232,86,2224560
https://www.sinsay.com/,1000,28,8,867748
https://www.skroutz.gr/,1000,213,7,8265297
https://www.slideshare.net/,1000,81,13,1496008
https://www.sozcu.com.tr/,1000,949,173,11107808
https://www.speedtest.net/,1000,844,216,3038248
https://www.sport.es/,1000,604,172,3476095
https://www.sport24.gr/,1000,940,207,13471059
https://www.sportskeeda.com/,1000,43,3,291899
https://www.sportybet.com/,1000,136,15,4535079
https://www.starfall.com/,1000,18,1,470055
https://www.staseraintv.com/,1000,139,19,2927966
https://www.storysaver.net/,1000,128,15,2402106
https://www.subito.it/,1000,133,33,2263957
https://www.superporn.com/,1000,33,7,771895
https://www.t-online.de/,1000,286,12,2796530
https://www.tamildhool.net/,1000,52,7,662365
https://www.target.com/,1000,318,23,4225078
https://www.telegraaf.nl/,1000,325,111,1959045
https://www.temu.com/,1000,209,8,2494445
https://www.terabox.app/,1000,96,13,8429098
https://www.terra.com.br/,1000,815,185,8321109
https://www.tgju.org/,1000,78,15,2859462
https://www.theguardian.com/,1000,612,158,4847695
https://www.tiktok.com/,1000,228,22,15176363
https://www.tjk.org/,1000,43,3,260140
https://www.tokopedia.com/,1000,192,30,2469291
https://www.tokyomotion.net/,1000,598,43,31076202
https://www.toppr.com/,1000,51,6,575286
https://www.trendyol.com/,1000,46,6,682625
https://www.tuazar.com/,1000,86,14,1295385
https://www.turkiye.gov.tr/,1000,43,3,574844
https://www.twitch.tv/,1000,353,25,34576460
https://www.udemy.com/,1000,134,9,2206740
https://www.universal-credit.service.gov.uk/,1000,14,1,595029
https://www.uol.com.br/,1000,660,174,4841780
https://www.ups.com/,1000,156,44,2783437
https://www.upwork.com/,1000,167,25,2744472
https://www.vg.no/,1000,154,32,1643498
https://www.w3schools.com/,1000,926,196,2285122
https://www.walmart.com/,1000,234,37,2349556
https://www.wattpad.com/,1000,135,16,3418812
https://www.wetter.com/,1000,70,14,1392087
https://www.whatsapp.com/,1000,35,3,2389717
https://www.wildberries.ru/,1000,96,16,3581549
https://www.wnacg.com/,1000,82,8,2518744
https://www.wowhead.com/,1000,1346,259,10169577
https://www.wp.pl/,1000,96,5,1425946
https://www.xbanxia.com/,1000,23,4,544100
https://www.xnxx.com/,1000,55,5,1148859
https://www.xpaja.net/,1000,59,10,1210590
https://www.xvideos.com/,1000,65,6,1642950
https://www.xvideos.es/,1000,63,7,1593512
